時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
15:30,78260,フルヤ金属,Furuya Metal,非上場の親会社等の決算に関するお知らせ,"Notice regarding financial results of unlisted parent company, etc.",東,TSE,https://www.release.tdnet.info/inbs/140120260415504980.pdf
15:30,78230,アートネイチャー,art nature,2026年3月期3月度単体月次売上状況（速報）,Monthly Report for March 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260410501879.pdf
15:30,76980,アイスコ,Iceco,決算発表および決算説明動画配信のお知らせ,Announcement of financial results announcement and video distribution of financial results explanation,東,TSE,https://www.release.tdnet.info/inbs/140120260416505114.pdf
15:30,73530,Ｇ－ＫＩＹＯ,G-KIYO,譲渡制限付株式報酬としての新株式の発行の払込完了に関するお知らせ,Notice regarding completion of payment for issuance of new shares as restricted stock compensation,東,TSE,https://www.release.tdnet.info/inbs/140120260416505237.pdf
15:30,68380,多摩川ＨＤ,Tamagawa HD,第三者割当により発行された第16回新株予約権（行使価額修正選択権付）の大量行使に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260416505433.pdf
15:30,65380,ディスラプターズ,disruptors,社員持株会設立に関するお知らせ,Notice regarding establishment of employee stock ownership plan,東,TSE,https://www.release.tdnet.info/inbs/140120260413502436.pdf
15:30,64650,ホシザキ,Hoshizaki,譲渡制限付株式報酬としての自己株式の処分に関するお知らせ,Notice regarding disposal of treasury stock as restricted stock compensation,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260415504994.pdf
15:30,61400,旭ダイヤ,Asahi Diamond,個別決算　特別損失に関するお知らせ,Individual financial results Notice regarding extraordinary loss,東,TSE,https://www.release.tdnet.info/inbs/140120260416505480.pdf
15:30,61400,旭ダイヤ,Asahi Diamond,退職給付費用の減少（利益増加効果）に関するお知らせ,Notice regarding reduction in retirement benefit costs (profit increase effect),東,TSE,https://www.release.tdnet.info/inbs/140120260416505307.pdf
15:30,61400,旭ダイヤ,Asahi Diamond,連結業績予想の修正および特別損失（固定資産の減損損失）の計上に関するお知らせ,Notice regarding revision of consolidated performance forecast and recording of extraordinary loss (impairment loss on fixed assets),東,TSE,https://www.release.tdnet.info/inbs/140120260416505304.pdf
15:30,55800,Ｇ－プロディライト,G-Prodilight,当社主要ＫＰＩ（2026年３月度）に関するお知らせ,Notice regarding our main KPIs (March 2026),東,TSE,https://www.release.tdnet.info/inbs/140120260415505080.pdf
15:30,53510,品川リフラ,Shinagawa Refra,減損損失の計上及び連結業績予想の修正に関するお知らせ,Notice regarding recording of impairment loss and revision of consolidated business forecasts,東札,TSE / SSE,https://www.release.tdnet.info/inbs/140120260416505215.pdf
15:30,52570,ノバシステム,nova system,譲渡制限付株式報酬としての自己株式処分に関するお知らせ,Notice regarding disposal of treasury stock as restricted stock compensation,東,TSE,https://www.release.tdnet.info/inbs/140120260415504995.pdf
15:30,50250,Ｇ－マーキュリー,G-Mercury,定款一部変更及び取締役候補者の選任に関するお知らせ,Notice regarding partial amendments to the articles of incorporation and appointment of director candidates,東,TSE,https://www.release.tdnet.info/inbs/140120260416505333.pdf
15:30,48880,Ｇ－ステラファーマ,G-Stella Pharma,株式及び新株予約権発行プログラム設定契約に基づく第１回第三者割当による新株式及び新株予約権の払込完了のお知らせ,No.1 Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260415504855.pdf
15:30,45910,Ｇ－リボミック,G-Ribomic,SK Plasmaとの共同研究契約締結に関するお知らせ,Notice regarding conclusion of joint research agreement with SK Plasma,東,TSE,https://www.release.tdnet.info/inbs/140120260416505310.pdf
15:30,44500,Ｇ－ＰＳＯＬ,G-PSOL,株主優待制度の変更及び拡充に関するお知らせ,Notice regarding changes and expansion of shareholder benefit system,東,TSE,https://www.release.tdnet.info/inbs/140120260415504676.pdf
15:30,44500,Ｇ－ＰＳＯＬ,G-PSOL,株式会社アゼストの株式取得（子会社化）および特定子会社の異動に関するお知らせ,"Notice regarding acquisition of shares of Azest Co., Ltd. (making it a subsidiary) and change of specified subsidiary",東,TSE,https://www.release.tdnet.info/inbs/140120260415504666.pdf
15:30,43770,Ｇ－ワンキャリア,G-One Carrier,譲渡制限付株式報酬としての新株式発行に関するお知らせ,Notice regarding issuance of new shares as restricted stock compensation,東,TSE,https://www.release.tdnet.info/inbs/140120260415505037.pdf
15:30,40970,高圧ガス,high pressure gas,役員の異動に関するお知らせ,Notice Regarding Change of Officers,東,TSE,https://www.release.tdnet.info/inbs/140120260416505143.pdf
15:30,39830,オロ,Oro,自己株式の消却に関するお知らせ,Notice Regarding Cancellation of Treasury Shares,東,TSE,https://www.release.tdnet.info/inbs/140120260416505263.pdf
15:30,39830,オロ,Oro,2026年12月期月次情報のお知らせ（3月度）,Monthly Report for December 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260415504903.pdf
15:30,34810,Ｒ－三菱地所物流,R-Mitsubishi Estate Logistics,資産運用会社における組織変更に関するお知らせ,Notice regarding organizational changes at the asset management company,東,TSE,https://www.release.tdnet.info/inbs/140120260416505425.pdf
15:30,34810,Ｒ－三菱地所物流,R-Mitsubishi Estate Logistics,2026年２月期　決算短信（ＲＥＩＴ）,Earnings Report for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260416505399.pdf
15:30,339A0,Ｇ－プログレス,G-Progress,2026年2月期 決算説明会 質疑応答要旨,Earnings Presentation Materials for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260416505134.pdf
15:30,33910,ツルハＨＤ,Tsuruha HD,定款一部変更に関するお知らせ,Notice Regarding Partial Amendment to Articles of Incorporation,東,TSE,https://www.release.tdnet.info/inbs/140120260416505477.pdf
15:30,33910,ツルハＨＤ,Tsuruha HD,当社の新任取締役候補者の選任に関するお知らせ,Notice regarding the selection of new director candidates for the Company,東,TSE,https://www.release.tdnet.info/inbs/140120260416505475.pdf
15:30,33910,ツルハＨＤ,Tsuruha HD,資本準備金の額の減少に関するお知らせ,Notice regarding decrease in amount of capital reserves,東,TSE,https://www.release.tdnet.info/inbs/140120260416505474.pdf
15:30,33820,７＆ｉＨＤ,7&iHD,当社の新たな役員報酬制度の策定と役員報酬方針の改定について,Regarding the formulation of our new executive compensation system and revision of our executive compensation policy,東,TSE,https://www.release.tdnet.info/inbs/140120260416505261.pdf
15:30,33820,７＆ｉＨＤ,7&iHD,資本準備金の減少及び定款一部変更に関するお知らせ,Notice regarding decrease in capital reserves and partial amendment to articles of incorporation,東,TSE,https://www.release.tdnet.info/inbs/140120260416505266.pdf
15:30,32950,Ｒ－ヒューリックＲＥ,R-Hulic RE,2026年2月期 決算短信（ＲＥＩＴ）,Earnings Report for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260415504531.pdf
15:30,32870,Ｒ－星野,R-Hoshino,資金の借入れ（グリーンローン他による借換え）及び金利スワップ取引に関するお知らせ,"Notice regarding borrowing of funds (refinancing through green loans, etc.) and interest rate swap transactions",東,TSE,https://www.release.tdnet.info/inbs/140120260415505009.pdf
15:30,32870,Ｒ－星野,R-Hoshino,コミットメントラインの契約期間延長に関するお知らせ,Notice regarding extension of commitment line contract period,東,TSE,https://www.release.tdnet.info/inbs/140120260415504725.pdf
15:30,32870,Ｒ－星野,R-Hoshino,国内不動産の譲渡に関するお知らせ（ソルヴィータホテル那覇）,Notice regarding transfer of domestic real estate (Solvita Hotel Naha),東,TSE,https://www.release.tdnet.info/inbs/140120260415505008.pdf
15:30,32260,Ｒ－三井不アコモ,R-Mitsui Fuacomo,第40期決算説明資料,40th period financial results briefing materials,東,TSE,https://www.release.tdnet.info/inbs/140120260415504941.pdf
15:30,32260,Ｒ－三井不アコモ,R-Mitsui Fuacomo,2026年２月期 決算短信(ＲＥＩＴ),Earnings Report for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260410502075.pdf
15:30,29860,Ｇ－ＬＡＨＤ,G-LAHD,譲渡制限付株式報酬としての新株式の発行に関するお知らせ,Notice regarding issuance of new shares as restricted stock compensation,東名札福,TSE / NSE / SSE / FSE,https://www.release.tdnet.info/inbs/140120260416505492.pdf
15:30,27890,カルラ,Carla,代表取締役の異動及び役員人事に関するお知らせ,Notice regarding change of representative director and personnel changes to officers,東,TSE,https://www.release.tdnet.info/inbs/140120260415504893.pdf
15:30,26690,カネ美食品,Kanebi Foods,役員人事（担当変更）に関するお知らせ,Notice regarding officer personnel changes (changes in charge),東,TSE,https://www.release.tdnet.info/inbs/140120260416505409.pdf
15:30,24620,ライク,like,当社の主要人事異動に関するお知らせ,Notice regarding major personnel changes at our company,東,TSE,https://www.release.tdnet.info/inbs/140120260416505218.pdf
15:30,24380,Ｇ－アスカネット,G-Asuka Net,代表取締役の担当変更及び主要人事に関するお知らせ,Notice regarding change in representative director responsibilities and major personnel changes,東,TSE,https://www.release.tdnet.info/inbs/140120260416505181.pdf
15:30,23340,Ｇ－イオレ,G-Iole,JAICデータダイナミクス株式会社が発行する社債の引受けに関するお知らせ,"Notice regarding underwriting of corporate bonds issued by JAIC Data Dynamics Co., Ltd.",東,TSE,https://www.release.tdnet.info/inbs/140120260316582988.pdf
15:30,219A0,Ｇ－ハートシード,G-Heart Seed,事後交付型リストリクテッド・ストック・ユニット(RSU)の付与に関するお知らせ,Notice regarding grant of restricted stock units (RSU) with subsequent delivery,東,TSE,https://www.release.tdnet.info/inbs/140120260416505173.pdf
15:30,14440,Ｇ－ニッソウ,G-Nissou,株式会社第一技研の株式の取得（子会社化）に関するお知らせ,"Notice regarding acquisition of shares of Daiichi Giken Co., Ltd. (making it a subsidiary)",東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260416505383.pdf
15:30,14290,日本アクア,japan aqua,譲渡制限付株式報酬としての自己株式の処分に関するお知らせ,Notice regarding disposal of treasury stock as restricted stock compensation,東,TSE,https://www.release.tdnet.info/inbs/140120260416505393.pdf
15:40,97530,ＩＸナレッジ,IX knowledge,役員人事に関するお知らせ,Notice Regarding Officer Personnel Changes,東,TSE,https://www.release.tdnet.info/inbs/140120260413503008.pdf
15:40,97530,ＩＸナレッジ,IX knowledge,株式会社スタイルの株式取得（子会社化）に関する株式譲渡契約締結のお知らせ,"Announcement of conclusion of stock transfer agreement regarding stock acquisition (making it a subsidiary) of Style Co., Ltd.",東,TSE,https://www.release.tdnet.info/inbs/140120260407599576.pdf
15:40,26850,アンドエスティＨＤ,andesty HD,補欠の監査等委員である取締役候補者の追加選任に関するお知らせ,Notice regarding additional election of director candidates who are substitute Audit and Supervisory Committee members,東,TSE,https://www.release.tdnet.info/inbs/140120260416505418.pdf
15:40,26850,アンドエスティＨＤ,andesty HD,取締役に対する業績連動型株式報酬制度の継続に関するお知らせ,Notice regarding continuation of performance-linked stock compensation plan for directors,東,TSE,https://www.release.tdnet.info/inbs/140120260416505459.pdf
15:40,26850,アンドエスティＨＤ,andesty HD,定款一部変更に関するお知らせ,Notice Regarding Partial Amendment to Articles of Incorporation,東,TSE,https://www.release.tdnet.info/inbs/140120260416505489.pdf
15:45,89840,Ｒ－ハウスリート,R-House REIT,資金の借入れ及び借入金の返済に関するお知らせ,Notice regarding borrowing of funds and repayment of borrowings,東,TSE,https://www.release.tdnet.info/inbs/140120260415504789.pdf
15:45,89840,Ｒ－ハウスリート,R-House REIT,2026年2月期（第40期）決算説明資料,Earnings Presentation Materials for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260415504786.pdf
