時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
16:00,92700,Ｇ－バリュエンスＨＤ,G-Valueance HD,2026年8月期　第2四半期決算説明資料,Earnings Presentation Materials for FY2026 ending August,東,TSE,https://www.release.tdnet.info/inbs/140120260409501094.pdf
16:00,92700,Ｇ－バリュエンスＨＤ,G-Valueance HD,2026年8月期　第2四半期（中間期）決算短信〔日本基準〕（連結）,Summary of financial results for the second quarter (interim period) of the fiscal year ending August 2026 [Japanese GAAP] (consolidated),東,TSE,https://www.release.tdnet.info/inbs/140120260407599605.pdf
16:00,92700,Ｇ－バリュエンスＨＤ,G-Valueance HD,通期連結業績予想及び配当予想の修正に関するお知らせ,Notice regarding revisions to full-year consolidated performance forecasts and dividend forecasts,東,TSE,https://www.release.tdnet.info/inbs/140120260407599609.pdf
16:00,92370,Ｇ－笑美面,G-Emimen,連結子会社によるリースによる固定資産の賃貸借に関するお知らせ,Notice regarding lease of fixed assets by consolidated subsidiary,東,TSE,https://www.release.tdnet.info/inbs/140120260410501844.pdf
16:00,82370,松屋,Matsuya,2026年3月売上報告,Sales Report for March 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260404598487.pdf
16:00,79180,ヴィアＨＤ,Via HD,2026年３月度　月次速報（連結_前年対比）,Monthly Report for March 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260410501535.pdf
16:00,77250,インターアクション,interaction,2026年5月期通期個別業績予想の修正に関するお知らせ,Notice regarding revisions to individual performance forecasts for the full year ending May 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260409501162.pdf
16:00,77250,インターアクション,interaction,2026年5月期第3四半期決算説明会資料,Earnings Presentation Materials for FY2026 ending May,東,TSE,https://www.release.tdnet.info/inbs/140120260409501100.pdf
16:00,77250,インターアクション,interaction,2026年5月期第3四半期決算短信〔日本基準〕（連結）,Q3 Earnings Report (Consolidated) for FY2026 ending May,東,TSE,https://www.release.tdnet.info/inbs/140120260409501097.pdf
16:00,76100,テイツー,Tay Two,通期連結業績予想及び配当予想の修正（特別配当）に関するお知らせ,Notice regarding revisions to full-year consolidated performance forecasts and dividend forecasts (special dividends),東,TSE,https://www.release.tdnet.info/inbs/140120260407599259.pdf
