時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
16:00,251A0,Ｐ－ニューロマジック,P-Neuro Magic,2026年２月期 決算短信〔日本基準〕（連結）,Earnings Report (Consolidated) for FY2026 ending February,東福,TSE / FSE,https://www.release.tdnet.info/inbs/140120260413503115.pdf
16:00,251A0,Ｐ－ニューロマジック,P-Neuro Magic,通期連結業績予想と実績値との差異、並びに剰余金の配当に関するお知らせ,Notice regarding the difference between the full-year consolidated performance forecast and actual results and dividends of surplus,東福,TSE / FSE,https://www.release.tdnet.info/inbs/140120260413503104.pdf
16:00,245A0,Ｇ－ＩＮＧＳ,G-INGS,2026年８月期 第２四半期 決算説明資料,Earnings Presentation Materials for FY2026 ending August,東,TSE,https://www.release.tdnet.info/inbs/140120260414503905.pdf
16:00,245A0,Ｇ－ＩＮＧＳ,G-INGS,2026年８月期 第２四半期（中間期）決算短信〔日本基準〕(非連結),Summary of financial results for the second quarter (interim period) of the fiscal year ending August 2026 [Japanese GAAP] (non-consolidated),東,TSE,https://www.release.tdnet.info/inbs/140120260414503902.pdf
16:00,244A0,Ｇ－グロースエクスパ,G-Growth Expa,2026年８月期第２四半期 決算説明資料,Earnings Presentation Materials for FY2026 ending August,東,TSE,https://www.release.tdnet.info/inbs/140120260414504150.pdf
16:00,244A0,Ｇ－グロースエクスパ,G-Growth Expa,2026年８月期第２四半期（中間期）決算短信（日本基準）（連結）,Summary of financial results for the second quarter (interim period) of the fiscal year ending August 2026 (Japanese GAAP) (consolidated),東,TSE,https://www.release.tdnet.info/inbs/140120260414504106.pdf
16:00,190A0,Ｇ－Ｃｈｏｒｄｉａ,G-Chordia,2026年８月期中間決算説明資料,Earnings Presentation Materials for FY2026 ending August,東,TSE,https://www.release.tdnet.info/inbs/140120260414503671.pdf
16:00,14180,インターライフ,interlife,株式給付信託（BBT）の一部改定に関するお知らせ,Notice regarding partial revision of Stock Benefit Trust (BBT),東,TSE,https://www.release.tdnet.info/inbs/140120260414503590.pdf
16:00,14180,インターライフ,interlife,役員の異動に関する事項について,Regarding matters regarding changes in officers,東,TSE,https://www.release.tdnet.info/inbs/140120260414503584.pdf
16:00,14180,インターライフ,interlife,剰余金の配当に関するお知らせ,Notice Regarding Dividend,東,TSE,https://www.release.tdnet.info/inbs/140120260413502948.pdf
