時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
15:00,136A0,Ｐ－三興商事,P-Sanko Shoji,臨時株主総会決議省略および付議議案の決定に関するお知らせ,Notice regarding omission of resolutions at extraordinary general meeting of shareholders and decision on proposals to be submitted,東,TSE,https://www.release.tdnet.info/inbs/140120260406598768.pdf
15:30,98760,コックス,cox,2027年２月期 ３月度 月次売上高前年比速報のお知らせ,Monthly Report for February 2027,東,TSE,https://www.release.tdnet.info/inbs/140120260406598815.pdf
15:30,95580,Ｇ－ジャパニアス,G-Japanius,2026年11月期第1四半期決算説明資料,Earnings Presentation Materials for FY2026 ending November,東,TSE,https://www.release.tdnet.info/inbs/140120260406598761.pdf
15:30,95580,Ｇ－ジャパニアス,G-Japanius,2026年11月期第１四半期決算短信〔日本基準〕(非連結),Q1 Earnings Report (Consolidated) for FY2026 ending November,東,TSE,https://www.release.tdnet.info/inbs/140120260406598756.pdf
15:30,92780,ブックオフＧＨＤ,book off ghd,2026年3月 月次の売上状況について,Monthly Report for March 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260406598660.pdf
15:30,91600,オンザページ,on the page,経営戦略説明会資料,Management strategy briefing materials,東,TSE,https://www.release.tdnet.info/inbs/140120260406598608.pdf
15:30,91600,オンザページ,on the page,連結業績予想の公表に関するお知らせ,Notice regarding publication of consolidated financial forecasts,東,TSE,https://www.release.tdnet.info/inbs/140120260403598112.pdf
15:30,89750,Ｒ－いちごオフィス,R-Ichigo Office,ポートフォリオ稼働率速報値（2026年3月末時点）のお知らせ,Notice of preliminary portfolio occupancy rate (as of the end of March 2026),東,TSE,https://www.release.tdnet.info/inbs/140120260406598773.pdf
15:30,83980,筑邦銀,Chikuho Bank,債権の取立不能又は取立遅延のおそれに関するお知らせ,Notice regarding the risk of uncollectible debts or delayed collection of debts,福,FSE,https://www.release.tdnet.info/inbs/140120260406598726.pdf
15:30,79220,三光産業,Sanko Sangyo,臨時株主総会招集のための基準日設定に関するお知らせ,Notice regarding setting of record date for convening extraordinary general meeting of shareholders,東,TSE,https://www.release.tdnet.info/inbs/140120260403598074.pdf
15:30,79010,マツモト,matsumoto,株主優待の実施に関するお知らせ,Notice regarding implementation of shareholder benefits,東,TSE,https://www.release.tdnet.info/inbs/140120260406598782.pdf
15:30,76830,ダブルエー,Double A,2026年１月期決算に関する質疑応答集,Questions and answers regarding financial results for the fiscal year ending January 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260406598814.pdf
15:30,76790,薬王堂ＨＤ,Yakuodo HD,2026年３月度 月次速報に関するお知らせ,Monthly Report for March 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260403598399.pdf
15:30,76790,薬王堂ＨＤ,Yakuodo HD,2026年２月期 決算短信〔日本基準〕(連結),Earnings Report (Consolidated) for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260403598340.pdf
15:30,76300,壱番屋,Ichibanya,中期経営計画の見直しに関するお知らせ,Notice Regarding Revision of Medium-Term Management Plan,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260406598803.pdf
15:30,76300,壱番屋,Ichibanya,2026年2月期 決算短信〔日本基準〕（連結）,Earnings Report (Consolidated) for FY2026 ending February,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260406598776.pdf
15:30,73780,Ｇ－アシロ,G-Ashiro,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260406598787.pdf
15:30,71340,アップガレージＧ,Up Garage G,2026年３月期 ３月度月次売上状況（速報）等について,Monthly Report for March 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260406598603.pdf
15:30,70470,Ｇ－ポート,G-port,ポート群馬伊勢崎第二蓄電所の需給調整市場での取引開始のお知らせ,Announcement of the start of trading in the supply and demand adjustment market for Port Gunma Isesaki 2nd Energy Storage Station,東福,TSE / FSE,https://www.release.tdnet.info/inbs/140120260406598858.pdf
15:30,57060,三井金属,Mitsui Metals,完全子会社の吸収合併（簡易合併・略式合併）に関するお知らせ,Notice regarding absorption-type merger (simple merger/informal merger) of wholly owned subsidiary,東,TSE,https://www.release.tdnet.info/inbs/140120260403598062.pdf
15:30,55320,Ｇ－リアルゲイト,G-Real Gate,固定資産の取得に関するお知らせ,Notice regarding acquisition of fixed assets,東,TSE,https://www.release.tdnet.info/inbs/140120260406598668.pdf
15:30,48250,ＷＮＩウェザー,WNI Weather,配当予想の修正(40周年記念配当)に関するお知らせ,Notice regarding revision of dividend forecast (40th anniversary dividend),東,TSE,https://www.release.tdnet.info/inbs/140120260403598408.pdf
