時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
15:30,198A0,Ｇ－ポストプライム,G-post prime,2026年５月期第３四半期 決算説明資料,Earnings Presentation Materials for FY2026 ending May,東,TSE,https://www.release.tdnet.info/inbs/140120260413502526.pdf
15:30,14340,ＪＥＳＣＯ　ＨＤ,JESCO HD,2026年8月期 第2四半期(中間期) 決算短信〔日本基準〕（連結）,Summary of financial results for the second quarter (interim period) of the fiscal year ending August 2026 [Japanese GAAP] (consolidated),東,TSE,https://www.release.tdnet.info/inbs/140120260413502644.pdf
15:30,130A0,Ｇ－ＶＩＳ,G-VIS,武田薬品とのmRNA標的低分子医薬品共同創薬研究の終了に関するお知らせ,Announcement regarding the completion of joint drug discovery research with mRNA-targeted small molecule drugs with Takeda Pharmaceuticals,東,TSE,https://www.release.tdnet.info/inbs/140120260413502585.pdf
15:31,52500,ＧＭＯプライム,GMO prime,2026年12月期 第１四半期決算説明資料,Earnings Presentation Materials for FY2026 ending December,東,TSE,https://www.release.tdnet.info/inbs/140120260413502512.pdf
15:31,52500,ＧＭＯプライム,GMO prime,決算期（事業年度の末日）の変更に伴う通期業績予想の修正に関するお知らせ,Notice regarding revisions to full-year business forecasts due to change in fiscal year end (last day of business year),東,TSE,https://www.release.tdnet.info/inbs/140120260413502694.pdf
15:31,52500,ＧＭＯプライム,GMO prime,2026年12月期　第１四半期決算短信〔日本基準〕（連結）,Q1 Earnings Report (Consolidated) for FY2026 ending December,東,TSE,https://www.release.tdnet.info/inbs/140120260413502215.pdf
15:35,92350,Ｇ－売れるネットＧ,G-Selling Net G,売上3億円・譲受後実力収益力0.9億円のコールセンター＆BPO事業会社「株式会社Step y’s」子会社化で今期売上取込は約9.5億円に到達,"Step y’s Co., Ltd., a call center & BPO business company with sales of 300 million yen and actual earning power of 90 million yen after acquisition, has become a subsidiary, and sales for this fiscal year have reached approximately 950 million yen.",東,TSE,https://www.release.tdnet.info/inbs/140120260413502315.pdf
15:35,81410,新光商,Shinko Commercial,通期連結業績予想及び期末配当予想の修正に関するお知らせ,Notice regarding revisions to full-year consolidated performance forecasts and year-end dividend forecasts,東,TSE,https://www.release.tdnet.info/inbs/140120260410501894.pdf
15:40,66760,ＢＵＦＦＡＬＯ,BUFFALO,執行役員に対する譲渡制限付株式としての自己株式の処分に関するお知らせ,Notice regarding disposal of treasury stock as restricted stock to executive officers,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260410502040.pdf
15:40,66760,ＢＵＦＦＡＬＯ,BUFFALO,通期連結業績予想の修正に関するお知らせ,Notice regarding revisions to full-year consolidated performance forecasts,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260410501977.pdf
