時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
15:30,70560,Ｐ－マルク,P-Marc,株式の上場廃止及び株式の取扱いに関するお知らせとご挨拶,Announcement and greeting regarding delisting of stocks and handling of stocks,東,TSE,https://www.release.tdnet.info/inbs/140120260406598962.pdf
15:30,68140,古野電気,Furuno Electric,投資単位の引下げに関する考え方及び方針等について,Policy on Reduction of Investment Unit Size,東,TSE,https://www.release.tdnet.info/inbs/140120260409500715.pdf
15:30,68140,古野電気,Furuno Electric,業績連動事後交付型譲渡制限付株式報酬制度の導入に関するお知らせ,Notice regarding the introduction of a performance-linked restricted stock compensation system,東,TSE,https://www.release.tdnet.info/inbs/140120260409500727.pdf
15:30,68140,古野電気,Furuno Electric,資本コストや株価を意識した経営の実現に向けた対応について（アップデート）,Regarding measures to realize management that is conscious of capital costs and stock prices (update),東,TSE,https://www.release.tdnet.info/inbs/140120260409500676.pdf
15:30,68140,古野電気,Furuno Electric,剰余金の配当（増配）に関するお知らせ,Notice Regarding Dividend (Increased),東,TSE,https://www.release.tdnet.info/inbs/140120260409500694.pdf
15:30,68140,古野電気,Furuno Electric,2026年2月期 決算短信〔日本基準〕(連結),Earnings Report (Consolidated) for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260326589376.pdf
15:30,65860,マキタ,Makita,自己株式の取得状況に関するお知らせ（会社法第459条第１項及び当社定款の定めに基づく自己株式の取得）,"Notice regarding the status of acquisition of treasury stock (acquisition of treasury stock based on Article 459, Paragraph 1 of the Companies Act and the Company's Articles of Incorporation)",東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260406599046.pdf
15:30,65840,三桜工,Sanoh Engineering,ステークホルダーの皆さまから頂戴した質問とそれに対する回答(2026 年３月期第３四半期決算),Questions and answers from stakeholders (3rd quarter financial results for the fiscal year ending March 2026),東,TSE,https://www.release.tdnet.info/inbs/140120260409500888.pdf
15:30,63710,椿本チエイン,Tsubakimoto Chain,子会社の設立に関するお知らせ,Notice Regarding Establishment of Subsidiary,東,TSE,https://www.release.tdnet.info/inbs/140120260409500826.pdf
15:30,63230,ローツェ,Lhotse,2026年2月期（第41期）決算説明資料,Earnings Presentation Materials for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260409500860.pdf
15:30,63230,ローツェ,Lhotse,2026年2月期　決算短信〔日本基準〕（連結）,Earnings Report (Consolidated) for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260409500528.pdf
15:30,60400,Ｇ－日本スキー,G-Japan Ski,2026年7月期日本スキー場開発(株)月次速報開示,Monthly Report for July 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260409500512.pdf
15:30,58830,Ｐ－ＧＴＨＤ,P-GTHD,株式の上場廃止及び株式の取扱いに関するお知らせとご挨拶,Announcement and greeting regarding delisting of stocks and handling of stocks,東,TSE,https://www.release.tdnet.info/inbs/140120260407599673.pdf
15:30,58830,Ｐ－ＧＴＨＤ,P-GTHD,通期業績予想の修正に関するお知らせ,Notice regarding revisions to full-year performance forecasts,東,TSE,https://www.release.tdnet.info/inbs/140120260406599077.pdf
15:30,52430,Ｇ－ｎｏｔｅ,G-note,第三者割当による新株式発行の払込完了に関するお知らせ,Notice regarding completion of payment for issuance of new shares through third-party allotment,東,TSE,https://www.release.tdnet.info/inbs/140120260409500790.pdf
15:30,48800,セルソース,cell source,2026年10月期3月度月次KPI速報,KPI Report for October 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260408500407.pdf
15:30,47920,山田コンサル,Yamada Consulting,通期連結業績予想の修正に関するお知らせ,Notice regarding revisions to full-year consolidated performance forecasts,東,TSE,https://www.release.tdnet.info/inbs/140120260408500492.pdf
15:30,47630,Ｃ＆Ｒ社,C&R Company,役員人事に関するお知らせ,Notice Regarding Officer Personnel Changes,東,TSE,https://www.release.tdnet.info/inbs/140120260409500780.pdf
15:30,47630,Ｃ＆Ｒ社,C&R Company,2026年２月期 決算短信〔日本基準〕（連結）,Earnings Report (Consolidated) for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260409500736.pdf
15:30,47280,トーセ,Tose,2026年８月期　第２四半期（中間期）決算短信〔日本基準〕（連結）,Summary of financial results for the second quarter (interim period) of the fiscal year ending August 2026 [Japanese GAAP] (consolidated),東,TSE,https://www.release.tdnet.info/inbs/140120260409500607.pdf
15:30,436A0,Ｇ－サイバーＳＯＬ,G-Cyber ​​SOL,（追加・数値データ追加）「2026年４月期 第３四半期決算短信〔ＩＦＲＳ〕（非連結）」の一部追加について,Q3 Earnings Report (IFRS) (Consolidated) for FY2026 ending April,東,TSE,https://www.release.tdnet.info/inbs/140120260409500700.pdf
