時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
16:00,18670,植木組,Ueki group,剰余金の配当に関するお知らせ,Notice Regarding Dividend,東,TSE,https://www.release.tdnet.info/inbs/140120260430514747.pdf
16:00,18670,植木組,Ueki group,業績予想の修正に関するお知らせ,Notice Regarding Revision of Earnings Forecast,東,TSE,https://www.release.tdnet.info/inbs/140120260430514694.pdf
16:00,18670,植木組,Ueki group,役員の異動に関するお知らせ,Notice Regarding Change of Officers,東,TSE,https://www.release.tdnet.info/inbs/140120260430514533.pdf
16:00,18660,北野建,Ken Kitano,監査役の辞任に関するお知らせ,Notice regarding resignation of auditor,東,TSE,https://www.release.tdnet.info/inbs/140120260429514068.pdf
16:00,172A0,Ｐ－ネオホーム,P-Neohome,子会社の設立に関するお知らせ,Notice Regarding Establishment of Subsidiary,東,TSE,https://www.release.tdnet.info/inbs/140120260428513441.pdf
16:00,157A0,Ｇ－Ｇモンスター,G-G Monster,定款の一部変更に関するお知らせ,Notice Regarding Partial Amendment to Articles of Incorporation,東,TSE,https://www.release.tdnet.info/inbs/140120260430515233.pdf
16:10,30700,Ｇ－ジェリービーンズ,G-jelly beans,事業計画及び成長可能性に関する説明資料,Explanatory materials regarding business plans and growth potential,東,TSE,https://www.release.tdnet.info/inbs/140120260430515407.pdf
16:20,61110,旭精機,Asahi Seiki,2026 中期経営計画取り下げに関するお知らせ,Notice regarding withdrawal of 2026 medium-term management plan,名,NSE,https://www.release.tdnet.info/inbs/140120260430515019.pdf
16:20,61110,旭精機,Asahi Seiki,2026年3月期 決算短信補足資料,Earnings Report for FY2026 ending March,名,NSE,https://www.release.tdnet.info/inbs/140120260429514142.pdf
16:20,61110,旭精機,Asahi Seiki,2026年３月期 決算短信〔日本基準〕（非連結）,Earnings Report (Consolidated) for FY2026 ending March,名,NSE,https://www.release.tdnet.info/inbs/140120260428512848.pdf
16:30,95030,関西電力,Kansai Electric Power,株主還元方針の見直しについて,Regarding review of shareholder return policy,東,TSE,https://www.release.tdnet.info/inbs/140120260430515196.pdf
