時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
14:30,65220,Ｇ－アスタリスク,G-asterisk,【アスタリスク】西鉄ストア全拠点における「AsReader GoMA」導入のお知らせ,"[Asterisk] Announcement of introduction of ""AsReader GoMA"" at all Nishitetsu Store locations",東,TSE,https://www.release.tdnet.info/inbs/140120260421507432.pdf
15:00,83860,百十四銀,114 silver,業績予想及び配当予想の修正に関するお知らせ,Notice regarding revisions to performance forecasts and dividend forecasts,東,TSE,https://www.release.tdnet.info/inbs/140120260420506748.pdf
15:00,74190,ノジマ,Nojima,日立グローバルライフソリューションズ株式会社が設立する新会社（名称未定）の 株式取得（子会社化）に関するお知らせ,"Notice regarding acquisition of shares (making it a subsidiary) of a new company (name to be determined) to be established by Hitachi Global Life Solutions, Ltd.",東,TSE,https://www.release.tdnet.info/inbs/140120260421507475.pdf
15:00,47330,ＯＢＣ,OBC,投資単位の引下げに関する考え方及び方針について,Regarding the concept and policy regarding the reduction of the investment unit,東,TSE,https://www.release.tdnet.info/inbs/140120260420506503.pdf
15:00,47330,ＯＢＣ,OBC,支配株主等に関する事項について,Matters Regarding Controlling Shareholders,東,TSE,https://www.release.tdnet.info/inbs/140120260420506502.pdf
15:00,47330,ＯＢＣ,OBC,2026年３月期 決算短信〔日本基準〕（非連結）,Earnings Report (Consolidated) for FY2026 ending March,東,TSE,https://www.release.tdnet.info/inbs/140120260420506480.pdf
15:30,97930,ダイセキ,Daiseki,（訂正・数値データ訂正）「2026年2月期　決算短信〔日本基準〕（連結）」の一部訂正について,(Correction) Earnings Report (Consolidated) for FY2026 ending February,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260421507501.pdf
15:30,97630,丸建リース,Maruken Lease,有限会社大地リースの株式取得（子会社化）完了に関するお知らせ （開示事項の経過報告）,Notice regarding completion of stock acquisition (making Daichi Lease Ltd. a subsidiary) (Progress report on disclosure matters),東,TSE,https://www.release.tdnet.info/inbs/140120260421507256.pdf
15:30,97400,ＣＳＰ,CSP,和解による損害賠償請求訴訟の解決に関するお知らせ,Notice regarding resolution of damages claims lawsuit through settlement,東,TSE,https://www.release.tdnet.info/inbs/140120260421507536.pdf
15:30,92640,ポエック,Poec,大型案件の受注に関するお知らせ,Notice regarding orders for large projects,東,TSE,https://www.release.tdnet.info/inbs/140120260421507447.pdf
15:30,89860,Ｒ－大和証券リビング,R-Daiwa Securities Living,国内不動産の譲渡（賃貸物件２物件）に関するお知らせ,Notice regarding transfer of domestic real estate (2 rental properties),東,TSE,https://www.release.tdnet.info/inbs/140120260420507010.pdf
15:30,89540,Ｒ－オリックスＦ,R-Orix F,2026年2月期 決算短信(REIT),Earnings Report for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260421507261.pdf
15:30,89530,Ｒ－都市ファンド,R-City Fund,投資主限定　7施設共通お買物券の配布に関するお知らせ（続報）,Notice regarding distribution of shopping coupons common to 7 facilities limited to investors (Follow-up),東,TSE,https://www.release.tdnet.info/inbs/140120260420507026.pdf
15:30,89530,Ｒ－都市ファンド,R-City Fund,2026年2月期　決算短信(REIT),Earnings Report for FY2026 ending February,東,TSE,https://www.release.tdnet.info/inbs/140120260420507023.pdf
15:30,85180,アジア投資,Asia Investment,当社100％子会社の株式会社おみやげカンパニーHDの運営するおみやげファンド1号の増額方針の決定及び特定子会社の異動に関するお知らせ,"Announcement regarding the decision to increase the amount of Omiyage Fund No. 1 operated by Omiyage Company HD, a wholly owned subsidiary of our company, and changes in specified subsidiaries.",東,TSE,https://www.release.tdnet.info/inbs/140120260421507326.pdf
15:30,82250,タカチホ,Takachiho,（開示事項の経過）日本アジア投資株式会社との業務提携に基づくファンド出資に関するお知らせ,"(Progress Disclosure) Notice regarding fund investment based on business alliance with Japan Asia Investment Co., Ltd.",東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260420506478.pdf
15:30,78770,永大化工,Eitai Chemical Industry,剰余金の配当に関するお知らせ,Notice Regarding Dividend,東,TSE,https://www.release.tdnet.info/inbs/140120260421507140.pdf
15:30,78590,アルメディオ,Almedio,特許取得のお知らせ,Notice of patent acquisition,東,TSE,https://www.release.tdnet.info/inbs/140120260421507488.pdf
15:30,78030,Ｇ－ブシロード,G-Bushiroad,資金の借入に関するお知らせ,Notice Regarding Borrowing of Funds,東,TSE,https://www.release.tdnet.info/inbs/140120260421507329.pdf
15:30,75450,西松屋チェ,Nishimatsuya Che,2027年２月期売上高前年比速報（４月度）,Preliminary sales year-on-year comparison report for February 2027 (April),東,TSE,https://www.release.tdnet.info/inbs/140120260421507391.pdf
15:30,75010,ティムコ,Timco,堅果シナジ一投資事業有限責任組合による当社株式に対する 公開買付けに関する意見表明（留保）のお知らせ,Notice of expression of opinion (reservation) regarding the tender offer for the Company's shares by the Nut Synergy Investment Limited Partnership,東,TSE,https://www.release.tdnet.info/inbs/140120260421507271.pdf
15:30,74720,鳥羽洋行,Toba Yoko,役員人事に関するお知らせ,Notice Regarding Officer Personnel Changes,東,TSE,https://www.release.tdnet.info/inbs/140120260417505907.pdf
