時刻,コード,会社名,会社名_en,表題,表題_en,市場,市場_en,PDF
15:30,190A0,Ｇ－Ｃｈｏｒｄｉａ,G-Chordia,第９回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260401596097.pdf
15:31,92530,Ｇ－スローガン,G-slogan,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260401596388.pdf
15:35,66440,大崎電,Osakiden,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260401595867.pdf
15:35,60710,ＩＢＪ,IBJ,株式会社 IBJ（結婚相談所事業）2026年3月KPIについて,KPI Report for March 2026,東,TSE,https://www.release.tdnet.info/inbs/140120260401596670.pdf
15:40,74350,ナ・デックス,na dex,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260330593017.pdf
15:40,52160,倉元,Kuramoto,第三者割当による新株式発行（現物出資（デット・エクイティ・スワップ）及び金銭出資）及び第９回新株予約権発行の払込完了に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260401595856.pdf
15:45,81740,日瓦斯,Japanese Gas,自己株式の取得状況および取得終了に関するお知らせ,Notice Regarding Share Buyback Status and Completion,東,TSE,https://www.release.tdnet.info/inbs/140120260401596718.pdf
15:45,48810,Ｇ－ファンペップ,G-Fan Pep,第13回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260401596740.pdf
16:00,97650,オオバ,Ooba,（R8）未利用国有地調査（首都圏地区）・入札補助業務及び （R8）未利用国有地調査（北関東・信越地区）業務の受託契約締結に関するお知らせ,(R8) Notice regarding conclusion of contract for unused national land survey (Metropolitan area) and bidding assistance services and (R8) Unused national land survey (North Kanto and Shinetsu areas) services,東,TSE,https://www.release.tdnet.info/inbs/140120260401595530.pdf
16:00,97650,オオバ,Ooba,自己株式の取得状況および取得終了に関するお知らせ,Notice Regarding Share Buyback Status and Completion,東,TSE,https://www.release.tdnet.info/inbs/140120260401595441.pdf
16:00,93850,ショーエイコーポ,SHOEI CORPORATION,完全子会社の吸収合併完了に関するお知らせ,Notice Regarding Completion of Absorption-type Merger of Wholly Owned Subsidiary,東,TSE,https://www.release.tdnet.info/inbs/140120260401596218.pdf
16:00,93410,ＧＥＮＯＶＡ,GENOVA,執行役員人事に関するお知らせ,Notice regarding personnel affairs of executive officers,東,TSE,https://www.release.tdnet.info/inbs/140120260331595168.pdf
16:00,93410,ＧＥＮＯＶＡ,GENOVA,有限会社アカサカ歯材社の持分の取得（子会社化）に関するお知らせ,"Notice regarding acquisition of equity in Akasaka Dental Co., Ltd. (making it a subsidiary)",東,TSE,https://www.release.tdnet.info/inbs/140120260401596741.pdf
16:00,93190,中央倉庫,Chuo Soko,自己株式取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260401596342.pdf
16:00,92720,Ｇ－ブティックス,G-Boutiques,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260401595556.pdf
16:00,85080,Ｊトラスト,J Trust,自己株式の取得状況及び取得終了に関するお知らせ,Notice Regarding Share Buyback Status and Completion,東,TSE,https://www.release.tdnet.info/inbs/140120260331594959.pdf
16:00,83160,三井住友,Sumitomo Mitsui,新たなビジョンの策定について,Regarding the formulation of a new vision,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260331594753.pdf
16:00,82370,松屋,Matsuya,2026年3月売上速報,March 2026 sales report,東,TSE,https://www.release.tdnet.info/inbs/140120260401596472.pdf
16:00,81130,ユニチャーム,Unicharm,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260401595303.pdf
16:00,81010,ＧＳＩクレオス,GSI Creos,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260331593850.pdf
16:00,79460,光陽社,Koyosha,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東名,TSE / NSE,https://www.release.tdnet.info/inbs/140120260401595571.pdf
16:00,75780,ニチリョク,Nichiryoku,第３回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ,Notice Regarding Stock Acquisition Rights,東,TSE,https://www.release.tdnet.info/inbs/140120260401595385.pdf
16:00,68370,京写,Kyosha,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260331594729.pdf
16:00,68060,ヒロセ電,Hirose Den,自己株式の取得状況に関するお知らせ,Notice Regarding Status of Share Buyback,東,TSE,https://www.release.tdnet.info/inbs/140120260401595412.pdf
16:00,67310,ピクセラ,pixela,主要株主及び主要株主である筆頭株主の異動に関するお知らせ,Notice Regarding Change of Major and Principal Shareholders,東,TSE,https://www.release.tdnet.info/inbs/140120260330593227.pdf
16:00,67060,電気興,Denkiko,特別利益（投資有価証券売却益）の計上に関するお知らせ,Notice regarding recording of extraordinary profit (gain on sale of investment securities),東,TSE,https://www.release.tdnet.info/inbs/140120260331594954.pdf
